CODIGO;DESCRIPCION;AGENTE PROPIETARIO;PORCENTAJE PROPIEDAD;TIPO UNIDAD;ESTADO;ZONA/FRONTERA
ARACC01;;ARACÁN ENERGÍA;100;COMERCIALIZADOR;;ZONA ESPANOLA
ARATOM;ARCILLAS ATOMIZADAS;ARCILLAS ATOMIZADAS;100;GENERACION;BAJA;ZONA ESPANOLA
ARCH;ARCHENA;WIND TO MARKET (Act.: Comercialización Re);100;GENERACION;;ZONA ESPANOLA
ARCOS1;C.C. ARCOS 1;IBERDROLA GENERACION;100;GENERACION;;ZONA ESPANOLA
ARCOS2;C.C. ARCOS 2;IBERDROLA GENERACION;100;GENERACION;;ZONA ESPANOLA
ARCOS3;C.C. ARCOS 3;IBERDROLA GENERACION;100;GENERACION;;ZONA ESPANOLA
ARIDOS;ARIDOS ENERGIAS ESPECIALES;ARIDOS ENERGIAS ESPECIALES;100;GENERACION;BAJA;ZONA ESPANOLA
ARMAC01;ARMADILLA;ARMADILLA S.L.U;100;CONSUMIDOR DIRECTO;BAJA;ZONA ESPANOLA
ARRU1;C.C. ARRUBAL 1;GAS NATURAL SDG;100;GENERACION;BAJA;ZONA ESPANOLA
ARRU1R;UOF REPRESENTADA DE ARRUBAL 1;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;;ZONA ESPANOLA
ARRU1XR;UOF CONSUMO SER. AUX. ARRU1;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;CONSUMIDOR DIRECTO;;ZONA ESPANOLA
ARRU2;C.C. ARRUBAL 2;GAS NATURAL SDG;100;GENERACION;BAJA;ZONA ESPANOLA
ARRU2R;UOF REPRESENTADA DE ARRUBAL 2;DETISA (ACTIVIDAD: AGENTE VENDEDOR);100;GENERACION;;ZONA ESPANOLA
